,Symbol,Company,Ongoing/ One-time,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Amount transferred to Unspent CSR Account for the project (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),States (City/Town/District/Village),Category
9578,MAZDOCK,MAZAGON DOCK SHIPBUILDERS LTD.,One-time,SUPPORT FOR OXYGEN PLANT AT RLY HOSPITAL BYCULLA,I,SCHEDULE VII (I),,89.0,,,,"RLY HOSPITAL, BYCULLA",89.0,MAHARASHTRA (MUMBAI),Medical and Health
9595,MBLINFRA,MBL INFRASTRUCTURE LTD.,Ongoing,TREE PLANTATION,(IV),SCHEDULE VII (IV),,14.12,,,14.12,,,RAJASTHAN (BIKANER),Medical and Health
9599,MFL,MEGHMANI FINECHEM LTD.,One-time,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,200.0,,,,GCS MEDICAL COLLEGE HOSPITAL & RESEARCH CENTRE,200.0,GUJARAT (AHMEDABAD),Medical and Health
9601,MFL,MEGHMANI FINECHEM LTD.,Ongoing,CONTRIBUTION FOR PROMOTING HEALTHCARE INCLUDING PREVENTIVE HEALTH CARE,PROMOTING HEALTHCARE INCLUDING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),500.0,,85.0,,,,,GUJARAT (AHMEDABAD),Medical and Health
9602,MFL,MEGHMANI FINECHEM LTD.,One-time,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,50.0,,,,PRASHANTI MEDICAL SERVICES & RESEARCH FOUNDATION,50.0,GUJARAT (AHMEDABAD),Medical and Health
9603,MOL,MEGHMANI ORGANICS LTD.,One-time,PREVENTIVE HEALTHCARE INCLUDING COVID19 CARE ACTIVITIES,PREVENTIVE HEALTHCARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,6.0,,,,GUJARAT CHAMBER FOUNDATION,6.0,GUJARAT (AHMEDABAD),Medical and Health
9612,MOL,MEGHMANI ORGANICS LTD.,One-time,HEALTHCARE,HEALTHCARE,SCHEDULE VII (I),,4.07,,SADVICHAR PARIVAR,4.07,,,GUJARAT (AHMEDABAD),Medical and Health
9614,MOL,MEGHMANI ORGANICS LTD.,One-time,HEALTHCARE,HEALTHCARE,SCHEDULE VII (I),,2.15,,LIONS CLUB OF KARNAVATI FOUNDATION,2.15,,,GUJARAT (AHMEDABAD),Medical and Health
9618,MOL,MEGHMANI ORGANICS LTD.,One-time,PREVENTIVE HEALTHCARE INCLUDING COVID19 CARE ACTIVITIES,PREVENTIVE HEALTHCARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,144.12,,,144.12,,,GUJARAT,Medical and Health
9620,MENONBE,MENON BEARINGS LTD.,One-time,"DISTRIBUTION OF MASKS, MEDICINES AND SANITIZERS TO PUBLIC AT LARGE TO SUPPORT AGAINST COVID-19 IN KOLHAPUR",PROMOTION OF HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE AND SANITISATION AND DISASTER MANAGEMENT,"SCHEDULE VII (I), SCHEDULE VII (XII)",,0.41,,,0.41,,,MAHARASHTRA (KOLHAPUR),Medical and Health
9624,MENONBE,MENON BEARINGS LTD.,One-time,OXYGEN CONCENTRATOR GIVEN FOR COVID-19 RELIEF TO PUBLIC AT LARGE,PROMOTION OF HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE AND SANITIZATION AND DISASTER MANAGEMENT,SCHEDULE VII (I),,2.51,,,2.51,,,MAHARASHTRA (KOLHAPUR),Medical and Health
9628,MEP,MEP INFRASTRUCTURE DEVELOPERS LTD.,One-time,PAYMENT TOYUVAK PRATISTHAN,FOR PROMOTING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,10.0,,MEP FOUNDATION,10.0,,,MAHARASHTRA (MUMBAI),Medical and Health
9638,METROBRAND,METRO BRANDS LTD.,One-time,"TO REFURBISHMENT OF DISPOSED, DISCARDED FOOTWEAR AND DISTRIBUTION TO NEEDY STUDENTS",CLIMATE ACTION,SCHEDULE VII (IV),,24.88,,,,GREENSOLE FOUNDATION,24.88,ODISHA (KANDHAMAL),Medical and Health
9645,METROPOLIS,METROPOLIS HEALTHCARE LTD.,One-time,HEALTHCARE HEROES,PROMOTING HEALTH AWARENESS,SCHEDULE VII (I),,110.0,,,110.0,,,ALL STATES,Medical and Health
9651,MINDACORP,MINDA CORP.LTD.,Ongoing,ADMIN EXP,EDUCATION/ EMPOWERMENT,"SCHEDULE VII (II), SCHEDULE VII (III)",13.7,18.1,,SPARK MINDA FOUNDATION,18.1,,,HARYANA (GURUGRAM),Medical and Health
9667,MINDTREE,MINDTREE LTD.,One-time,THALASSEMIA DISABLED PEOPLE  BLOOD TRANSFUSIONS SUPPORT,SCHEDULE 7 (I) PROMOTING HEALTH CARE,SCHEDULE VII (I),,13.5,,,,BANGALORE MEDICAL SERVICES TRUST,13.5,KARNATAKA (BENGALURU),Medical and Health
9672,MINDTREE,MINDTREE LTD.,Ongoing,MINDTREE MYTREE,"SCHEDULE 7 (IV), ENSURING ENVIRONMENTAL SUSTAINABILITY",SCHEDULE VII (IV),260.0,11.0,249.0,,,SANKALPTARU FOUNDATION,11.0,MAHARASHTRA (PUNE),Medical and Health
9679,MINDTREE,MINDTREE LTD.,One-time,MINDTREE - OXYBUS,"SCHEDULE 7 (I) PROMOTING HEALTH CARE SCHEDULE 7 (XII) DISASTER MANAGEMENT, INCLUDING RELIEF, REHABILITATION","SCHEDULE VII (I), SCHEDULE VII (XII)",,37.6,,,,INDIVILLAGE FOUNDATION,37.6,KARNATAKA (UTTARA KANNADA),Medical and Health
9686,MINDTREE,MINDTREE LTD.,One-time,"MEDICAL SUPPORT FOR MISSED-OUT COMMUNITIES (LEPROSY, TRANS- GENDERS, HIV PATIENTS ETC.)",SCHEDULE 7 (I) PROMOTING HEALTH CARE,SCHEDULE VII (I),,20.0,,,,GOONJ FOUNDATION,20.0,WEST BENGAL (KOLKATA),Medical and Health
9694,MIRZAINT,MIRZA INTERNATIONAL LTD.,One-time,HEALTHCARE,I,SCHEDULE VII (I),,0.91,,,0.91,,,UTTAR PRADESH (UNNAO),Medical and Health
9695,MIRZAINT,MIRZA INTERNATIONAL LTD.,One-time,HEALTHCARE,I,SCHEDULE VII (I),,1.0,,,1.0,,,DELHI,Medical and Health
9696,MIDHANI,MISHRA DHATU NIGAM LTD.,Ongoing,MIDHANI CHARITABLE HEALTH CENTER,PROMOTING HEALTH CARE,SCHEDULE VII (I),4.22,4.22,,,4.22,,,TELANGANA (HYDERABAD),Medical and Health
9698,MIDHANI,MISHRA DHATU NIGAM LTD.,One-time,SPONSORED OXYGEN GENERATOR PLANT TO OSMANIA GENERAL HOSPITAL,HEALTH CARE,SCHEDULE VII (I),,87.0,,MIDHANI,87.0,,,TELANGANA (HYDERABAD),Medical and Health
9699,MIDHANI,MISHRA DHATU NIGAM LTD.,One-time,PROCURED OXYGEN CONCENTRATORS FOR COVID PATIENTS,HEALTH CARE,SCHEDULE VII (I),,2.24,,MIDHANI,2.24,,,TELANGANA (HYDERABAD),Medical and Health
9700,MIDHANI,MISHRA DHATU NIGAM LTD.,Ongoing,MIDHANI PRIMARY HEALTH CARE CENTESINFRASTRUCTURE/ EQUIPMENT,PROMOTING HEALTH CARE,SCHEDULE VII (I),116.82,116.82,,MIDHANI PRIMARY HEALTH CARE CENTER TRUST,116.82,,,TELANGANA (HYDERABAD),Medical and Health
9707,MIDHANI,MISHRA DHATU NIGAM LTD.,One-time,EX-GRATIA PAID TO CONTRACT EMPLOYEE FOR COVID TREATMENT,HEALTH CARE,SCHEDULE VII (I),,4.0,,MIDHANI,4.0,,,TELANGANA (HYDERABAD),Medical and Health
9709,,MISHTANN FOODS LTD.,One-time,"COVID RELIEF IN THE NEIGHBOURHOOD ACTIVITIES (DISTRIBUTION OF FOOD KITS, MASK, SANITIZER, ETC.)","PROMOTING HEALTHCARE INCLUDING PREVENTIVE HEALTHCARE, SANITATION AND DISASTER MANAGEMENT READ UNDER MINISTRYS GENERAL CIRCULAR NO. 10/2020 DATED 23 MARCH, 2020.","SCHEDULE VII (I), SCHEDULE VII (XII)",,12.25,,,12.25,,,"GUJARAT (AHMEDABAD,SABARKANTHA)",Medical and Health
9710,MITCON,MITCON CONSULTANCY & ENGINEERING SERVICES LTD.,One-time,PREVENTION AND  CONTROL OF FOREST  FIRES - PROVIDING OF  FIRE EXTINGUISHING  EQUIPMENT,CONSERVATION  OF NATURAL  RESOURCES,SCHEDULE VII (IV),,5.0,,,5.0,,,MAHARASHTRA (CHANDRAPUR),Medical and Health
9712,MMP,MMP INDUSTRIES LTD.,One-time,HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,9.84,,,9.84,,,MAHARASHTRA (NAGPUR),Medical and Health
9716,MMP,MMP INDUSTRIES LTD.,One-time,HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,3.0,,,,MAHAVIR INTERNATIONAL SERVICE TRUST,3.0,MAHARASHTRA (NAGPUR),Medical and Health
9720,MODISONLTD,MODISON LTD.,One-time,COVID-19 OXYGEN GAS PROJECT,PROMOTE HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,15.93,,,,ROTARY CHARITABLE TRUST,15.93,GUJARAT (VALSAD),Medical and Health
9722,MODISONLTD,MODISON LTD.,One-time,COVID 19,PROMOTE HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,1.52,,,1.52,,,MAHARASHTRA (MUMBAI),Medical and Health
9729,MOIL,MOIL LTD.,One-time,MEDICAL MISSION HOSPITAL NAGPUR. PROVIDING OXYGEN CONCENTRATORS TO PUBLIC HEALTH CENTERS IN TEHSIL RAMTEK DIST. NAGPUR,CLAUSE NO (I) OF SCHEDULE VII,SCHEDULE VII (I),,4.03,,MOIL,4.03,,,MAHARASHTRA (NAGPUR),Medical and Health
9732,MOIL,MOIL LTD.,One-time,"SETTING UP OXYGEN GENERATION, STORAGE AND DISTRIBUTION PLANT AT HOSPITALS (TWO) INDICATED BY DISTRICT COLLECTOR, NAGPUR. AS PER DIRECTIONS OF HONBLE BOMBAY HIGH COURT.",CLAUSE NO (I) OF SCHEDULE VII,SCHEDULE VII (I),,350.0,,MOIL,350.0,,,MAHARASHTRA (NAGPUR),Medical and Health
9748,MOIL,MOIL LTD.,One-time,OPENING OF TEMPORARY COVID CARE FACILITY AT 5 LOCATIONS IN ASSOCIATION WITH DISTRICT ADMINISTRATION IN STATE OF MADHYA PRADESH.,CLAUSE NO (I) OF SCHEDULE VII,SCHEDULE VII (I),,294.38,,MOIL,294.38,,,"MADHYA PRADESH (BALAGHAT,DINDORI,MANDLA,NARSINGHPUR,SEONI)",Medical and Health
9751,MOIL,MOIL LTD.,One-time,PROVIDING OXYGEN CONCENTRATORS TO SOUTH EASTERN RAILWAYS HOSPITAL NAGPUR.,CLAUSE NO (II) OF SCHEDULE VII,SCHEDULE VII (I),,4.67,,MOIL,4.67,,,MAHARASHTRA (NAGPUR),Medical and Health
9752,MOLDTKPAC,MOLD-TEK PACKAGING LTD.,Ongoing,MODERNIZATION OF HOSPITAL AND HEALTHCARE EQUIPMENTS,ITEM NO. (I),SCHEDULE VII (I),15.0,,15.0,,,,,ALL STATES,Medical and Health
9754,MOLDTKPAC,MOLD-TEK PACKAGING LTD.,One-time,RATION DISTRIBUTION IN VIEW OF THE CONTINUED IMPACT OF COVID-19 TO THE NEEDY,ITEM NO. (I),SCHEDULE VII (I),,17.97,,,17.97,,,,Medical and Health
9755,MOLDTKPAC,MOLD-TEK PACKAGING LTD.,Ongoing,SETTING UP OF R O WATER PLANT,ITEM NO. (I),SCHEDULE VII (I),29.37,23.54,5.83,,23.54,,,ANDHRA PRADESH (KAKINADA),Medical and Health
9761,MOLDTECH,MOLD-TEK TECHNOLOGIES LTD.,One-time,SOS CHILDRENS,,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (III), COMMUNITY DEVELOPMENT/ INFRASTRUCTURE/ SOCIAL WELFARE/ CHILD WELFARE",,8.0,,,8.0,,,TELANGANA (RANGAREDDY),Medical and Health
9772,MOREPENLAB,MOREPEN LABORATORIES LTD.,One-time,HEALTH CARE,PROMOTING HEALTHCARE INCLUDING PREVENTIVE HEALTHCARE,SCHEDULE VII (I),,40.54,,MOREPEN LABORATORIES LTD.,40.54,,,"JAMMU & KASHMIR (KATRA,REASI)",Medical and Health
9780,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LTD.,One-time,BHARATIYA JAIN SANGHATANA,(I) PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,90.0,,,,,90.0,"GUJARAT,MAHARASHTRA,RAJASTHAN",Medical and Health
9785,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LTD.,One-time,SHRAMAN AROGYAM,(I) PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,30.0,,,,,30.0,ALL STATES,Medical and Health
9794,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LTD.,One-time,EVEREST KANTO CYLINDER LTD,(I) PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,23.6,,,23.6,,,GUJARAT (KUTCH),Medical and Health
9798,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LTD.,One-time,GLOBAL HOSPITALS,(I) PROMOTING EDUCATION,SCHEDULE VII (II),,0.51,,,,,0.51,MAHARASHTRA (MUMBAI),Medical and Health
9800,MPHASIS,MPHASIS LTD.,One-time,COVID RELIEF,(IX) RELIEF AND SOCIO-ECONOMIC DEVELOPMENT,SCHEDULE VII (XII),,212.6,,,,GIVE INDIA FOUNDATION,212.6,MAHARASHTRA (PUNE),Medical and Health
9803,MPHASIS,MPHASIS LTD.,One-time,COVID RELIEF,(IX) RELIEF AND SOCIO-ECONOMIC DEVELOPMENT,SCHEDULE VII (XII),,50.0,,,,KAUSHALYA FOUNDATION,50.0,ALL STATES,Medical and Health
9807,MPHASIS,MPHASIS LTD.,One-time,COVID RELIEF,(IX) RELIEF AND SOCIO-ECONOMIC DEVELOPMENT,SCHEDULE VII (XII),,200.0,,,,AMERICAN INDIA FOUNDATION,200.0,"TAMIL NADU (COIMBATORE,MADURAI)",Medical and Health
9808,MPHASIS,MPHASIS LTD.,One-time,COVID RELIEF,(IX) RELIEF AND SOCIO-ECONOMIC DEVELOPMENT,SCHEDULE VII (XII),,95.2,,,,NASSCOM FOUNDATION,95.2,KARNATAKA (BENGALURU),Medical and Health
9811,MPHASIS,MPHASIS LTD.,One-time,COVID RELIEF,(IX) RELIEF AND SOCIO-ECONOMIC DEVELOPMENT,SCHEDULE VII (XII),,249.4,,,,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",249.4,KARNATAKA (BENGALURU),Medical and Health
9815,MPSLTD,MPS LTD.,One-time,VILLAGE COMMUNITY MENTAL HEALTH PROGRAMME,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,30.0,,,,SAMBANDH HEALTH FOUNDATION,30.0,HARYANA (GURUGRAM),Medical and Health
9820,MRF,MRF LTD.,One-time,BEDS FOR COVID PATIENTS IN PERAMBALUR HOSPITALS,"DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES","SCHEDULE VII (I), SCHEDULE VII (XII)",,0.23,,MRF FOUNDATION,0.23,,,TAMIL NADU (PERAMBALUR),Medical and Health
9822,MRF,MRF LTD.,One-time,PROVISION OF MEDICAL EQUIPMENT TO GENERAL HOSPITAL-TIRUVOTTIYUR,PROMOTING HEALTHCARE,SCHEDULE VII (I),,13.85,,MRF FOUNDATION,13.85,,,TAMIL NADU (CHENNAI),Medical and Health
9824,MRF,MRF LTD.,One-time,CONTRIBUTIONS TO TAMIL NADU STATE DISASTER MANAGEMENT AUTHORITY FOR COVID RELIEF,"DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES",SCHEDULE VII (XII),,400.0,,MRF FOUNDATION,400.0,,,TAMIL NADU (CHENNAI),Medical and Health
9830,MRF,MRF LTD.,One-time,"PROVIDING OF MASK, SANITIZER, DETTOL IN MEDAK","DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES",SCHEDULE VII (XII),,0.84,,MRF FOUNDATION,0.84,,,TELANGANA (SANGAREDDY),Medical and Health
9833,MRF,MRF LTD.,One-time,PROVIDING MEDICAL EQUIPMENT AND MATERIALS FOR COVID CARE,"DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES","SCHEDULE VII (I), SCHEDULE VII (XII)",,0.99,,MRF FOUNDATION,0.99,,,PUDUCHERRY,Medical and Health
9834,MRF,MRF LTD.,One-time,MASS VACCINATION DRIVE AGAINST COVID IN BHARUCH.,"DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES",SCHEDULE VII (XII),,10.99,,MRF FOUNDATION,10.99,,,GUJARAT (BHARUCH),Medical and Health
9835,MRF,MRF LTD.,One-time,"SUPPLY OF 40 KVA GENERATOR TO GOVERNMENT HOSPITAL, ARAKONAM","DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES",SCHEDULE VII (XII),,5.6,,MRF FOUNDATION,5.6,,,TAMIL NADU (RANIPET),Medical and Health
9839,MRF,MRF LTD.,One-time,PLANTING TREES IN NEARBY PERAMBALUR DISTRICT PROMOTING ENVIRONMENTAL,SUSTAINABILITY,SCHEDULE VII (IV),,3.24,,MRF FOUNDATION,3.24,,,TAMIL NADU (PERAMBALUR),Medical and Health
9840,MRF,MRF LTD.,One-time,"PROVIDING MASK, GLOVES, SANITIZER TO MEDICAL DEPARTMENT","DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES","SCHEDULE VII (I), SCHEDULE VII (XII)",,0.18,,MRF FOUNDATION,0.18,,,GOA (SOUTH GOA),Medical and Health
9846,MRF,MRF LTD.,One-time,SETTING UP OF OXYGEN PLANT FOR PATIENTS IN COVID CARE CENTERS IN SANGAREDDY DISTRICT.,"DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES",SCHEDULE VII (XII),,64.21,,MRF FOUNDATION,64.21,,,TELANGANA (SANGAREDDY),Medical and Health
9849,MRF,MRF LTD.,One-time,PROVIDING 15 KVA GENSET FOR UNINTERRUPTED POWER SUPPLY TO MAINTAIN VACCINE COLD CHAIN,"DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES",SCHEDULE VII (XII),,3.49,,MRF FOUNDATION,3.49,,,TAMIL NADU (PERAMBALUR),Medical and Health
9851,MRF,MRF LTD.,One-time,PROVIDING RELIEF MATERIALS TO POOR AND NEEDY PEOPLE IN VIEW OF INCESSANT RAINS IN CHENNAI,"DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES",SCHEDULE VII (XII),,6.0,,MRF FOUNDATION,6.0,,,TAMIL NADU (CHENNAI),Medical and Health
9856,MRF,MRF LTD.,One-time,SETTING UP OF A TEMPORARY COVID ISOLATION CENTRE AT SADASIVAPET,"DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES",SCHEDULE VII (XII),,17.34,,MRF FOUNDATION,17.34,,,TELANGANA (SANGAREDDY),Medical and Health
9858,MRF,MRF LTD.,One-time,PROVIDING APPARELS TO COVID VOLUNTEERS DEPLOYED FOR THE LOCK DOWN MANAGEMENT.,"DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES",SCHEDULE VII (XII),,1.39,,MRF FOUNDATION,1.39,,,PUDUCHERRY,Medical and Health
9860,MRF,MRF LTD.,One-time,PROVIDING OXYGEN AND OXYGEN DELIVERY EQUIPMENT TO THE HEALTH DEPARTMENT IN RANIPET DISTRICT,"DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES",SCHEDULE VII (XII),,16.19,,MRF FOUNDATION,16.19,,,TAMIL NADU (RANIPET),Medical and Health
9862,MRF,MRF LTD.,One-time,"PROVIDING OXYGEN CONCENTRATOR TO THE MEDICAL DEPARTMENT, GOA","DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES","SCHEDULE VII (I), SCHEDULE VII (XII)",,6.05,,MRF FOUNDATION,6.05,,,GOA (NORTH GOA),Medical and Health
9863,MRF,MRF LTD.,One-time,SUPPLY OF OXYGEN CONCENTRATORS TO HOSPITALS IN PERAMBALUR,"DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES",SCHEDULE VII (XII),,30.24,,MRF FOUNDATION,30.24,,,TAMIL NADU (PERAMBALUR),Medical and Health
9866,MRF,MRF LTD.,One-time,"SUPPLY OF FACE MASK, SANITIZERS, HAND GLOVES & FACE SHIELD TO POLICE PERSONNEL WHO ARE DEPLOYED IN COVID DUTY IN ARAKONAM","DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES","SCHEDULE VII (I), SCHEDULE VII (XII)",,0.55,,MRF FOUNDATION,0.55,,,TAMIL NADU (RANIPET),Medical and Health
9867,MRF,MRF LTD.,One-time,PROVISION OF MEDICAL EQUIPMENT TO URBAN COMMUNITY HEALTH CENTRE - TIRUVOTTIYUR,PROMOTING HEALTHCARE,SCHEDULE VII (I),,2.68,,MRF FOUNDATION,2.68,,,TAMIL NADU (CHENNAI),Medical and Health
9872,MRF,MRF LTD.,One-time,"EPABX WITH ACCESSORIES TO RAJIV GANDHI GOVERNMENT GENERAL HOSPITAL, CHENNAI",PROMOTING HEALTHCARE,SCHEDULE VII (I),,15.9,,MRF FOUNDATION,15.9,,,TAMIL NADU (CHENNAI),Medical and Health
9873,MRF,MRF LTD.,One-time,PREVENTIVE CARE AND ANTENATAL MINI CAMPS FOR TRIBALS,PROMOTING HEALTHCARE,SCHEDULE VII (I),,2.5,,MRF FOUNDATION,2.5,,,TAMIL NADU (DHARMAPURI),Medical and Health
9875,MRF,MRF LTD.,One-time,DISTRIBUTION OF FOOD GRAINS TO LOCAL RESIDENTS OF TIRUVOTTIYUR DURING COVID PANDEMIC,"DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES","SCHEDULE VII (I), SCHEDULE VII (XII)",,14.98,,MRF FOUNDATION,14.99,,,TAMIL NADU (CHENNAI),Medical and Health
9879,MRF,MRF LTD.,One-time,"DEVELOPMENT OF HEALTH INFRASTRUCTURE AT KOLAKKANATHAM, PERAMBALUR",PROMOTING HEALTHCARE,SCHEDULE VII (I),,2.91,,MRF FOUNDATION,2.91,,,TAMIL NADU (PERAMBALUR),Medical and Health
9880,MRF,MRF LTD.,One-time,PROVIDING 500 KG PER DAY WET WASTE COMPOSITING SYSTEM,ENSURING ENVIRONMENTAL SUSTAINABILITY AND ECOLOGICAL BALANCE,SCHEDULE VII (IV),,20.96,,MRF FOUNDATION,20.96,,,GOA (SOUTH GOA),Medical and Health
9884,MRF,MRF LTD.,One-time,MASK & OXYGEN CONCENTRATORS FOR COVID IN PUDUCHERRY,"DISASTER MANAGEMENT INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTIVE ACTIVITIES",SCHEDULE VII (XII),,32.52,,MRF FOUNDATION,32.52,,,PUDUCHERRY,Medical and Health
9888,BECTORFOOD,MRS.BECTORS FOOD SPECIALITIES LTD.,One-time,AFFORDABLE HEALTH CARE,PROMOTING OF HEALTH CARE,SCHEDULE VII (I),,15.2,,,15.2,,,PUNJAB (LUDHIANA),Medical and Health
9892,MSPL,MSP STEEL & POWER LTD.,One-time,HEALTHCARE,(I),SCHEDULE VII (I),,16.22,,,16.22,,,CHHATTISGARH (RAIGARH),Medical and Health
9893,MSPL,MSP STEEL & POWER LTD.,One-time,ERADICATION OF ILLITERACY,(II),SCHEDULE VII (II),,67.54,,,67.54,,,CHHATTISGARH (RAIGARH),Medical and Health
9901,MTARTECH,MTAR TECHNOLOGIES LTD.,One-time,ST.JUDE INDIA CHILDCARE CENTRES,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,11.5,,,11.5,,,TELANGANA (HYDERABAD),Medical and Health
9913,MUNJALAU,MUNJAL AUTO INDUSTRIES LTD.,One-time,EDUCATION AND HEALTH CARE,"SPECIAL EDUCATION, MEDICAL INTERVENTION INCLUDING PREVENTIVE HEALTH CARE IN DISABILITY/ SOCIAL SECTOR","SCHEDULE VII (I), SCHEDULE VII (II)",,12.0,,,,DISHA CHARITABLE TRUST,12.0,GUJARAT (VADODARA),Medical and Health
9915,MUNJALSHOW,MUNJAL SHOWA LTD.,One-time,PROVIDED BIPEP MACHINE (VENTMED DS -8) 10 UNITS TO CENTRAL MEDICAL DRUG STORE FOR THE BENEFIT OF PATIENTS SUFFERING FROM COVID-19 PANDEMIC,I. PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,4.48,,,4.48,,,UTTARAKHAND (DEHRADUN),Medical and Health
9921,RADIOCITY,MUSIC BROADCAST LTD.,One-time,SUPPORT FOR COVID RELIEF AND TOWARDS PROMOTION OF EDUCATION AND HEALTHCARE/ INFRASTRUCTURE FOR ORPHANAGE STUDENTS,PROMOTING HEALTHCARE,SCHEDULE VII (I),,16.0,,BHARTIA JAIN SANGATHAN,16.0,,,MAHARASHTRA (MUMBAI),Medical and Health
9924,RADIOCITY,MUSIC BROADCAST LTD.,One-time,SUPPORT TO CANCER PATIENTS AND ORPHANAGES,PROMOTING HEALTHCARE,SCHEDULE VII (I),,14.0,,LIONS CLUB SION,14.0,,,MAHARASHTRA (MUMBAI),Medical and Health
9928,MUTHOOTCAP,MUTHOOT CAPITAL SERVICES LTD.,One-time,"OTHER PROJECTS I. SUPPORTING GUARDIANS OF DREAMS - A NON-PROFIT ORGANIZATION THROUGH THEIR MONTHLY TRAINING SUPPORTS; II. RENOVATION OF HOUSES FOR UNDERPRIVILEGED FAMILIES; III. SUPPORTED PROGRAMME FOR EMPOWERING WOMEN AND ENHANCING LIVELIHOOD PHYSICALLY HANDICAPPED PEOPLE, DISTRIBUTION OF SLEEPING MATS BLANKETS,FOOD KITS AND DRINKING WATER FOR CAMPS AFFECTED DUE TO SEA RAGE, DISTRIBUTION OF FOOD KITS AND SUPPORTING VACCINATION PROGRAMS AS PART OF COVID -19 RELIEF SUPPORT. IV. SALARY AND TRAVEL EXPENSES INCURRED FOR THE CSR STAFF DURING THE PERIOD",VARIOUS HEADS,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (III), SCHEDULE VII (XII)",,82.0,,MUTHOOT PAPPACHAN FOUNDATION,82.0,,,ALL STATES,Medical and Health
